Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;03/2021;195.842;0;195.842;0;195.842;1.274.137;0;0;142;0;142;28.480;1.302.759;7.309.222;15,03%;15,03%;15,03%;2,68%;6,73%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO ALTOS DA SERRA - SICREDI ALTOS DA SERRA RS/SC;92555150;b3S;S4;I;2;TAPEJARA;RS;03/2021;225.211;0;225.211;0;225.211;1.236.984;0;0;1.054;0;1.054;63.497;1.301.535;1.941.706;17,30%;17,30%;17,30%;11,60%;13,54%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DAS REGIÕES CENTRO DO RS E MG – SICREDI REGIÃO CENTRO RS/MG;95594941;b3S;S4;I;2;SANTA MARIA;RS;03/2021;334.037;0;334.037;0;334.037;1.215.158;0;0;907;0;907;79.843;1.295.908;2.147.766;25,78%;25,78%;25,78%;15,55%;7,56%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO BRANCO – SICREDI OURO BRANCO RS;87853206;b3S;S4;I;2;TEUTONIA;RS;03/2021;298.240;0;298.240;0;298.240;1.199.888;0;0;855;0;855;82.247;1.282.991;2.114.563;23,25%;23,25%;23,25%;14,10%;9,70%
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO AGROEMPRESARIAL - SICREDI AGROEMPRESARIAL PR/SP;79457883;b3S;S4;I;2;MANDAGUARI;PR;03/2021;195.102;0;195.102;0;195.102;1.206.569;689;0;602;0;1.291;63.565;1.271.425;2.081.662;15,35%;15,35%;15,35%;9,37%;13,70%
BANCOSEGURO S.A.;10264663;b1;S4;I;2;SAO PAULO;SP;03/2021;444.691;0;444.691;0;444.691;1.029.020;0;0;0;0;0;232.151;1.261.170;5.381.541;35,26%;35,26%;35,26%;8,26%;0,00%
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;03/2021;164.752;0;164.752;0;164.752;1.215.934;0;0;96;0;96;29.284;1.245.314;7.150.184;13,23%;13,23%;13,23%;2,30%;1,93%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIVALES – SICREDI UNIVALES MT/RO;70431630;b3S;S4;I;2;JUINA;MT;03/2021;345.547;0;345.547;0;345.547;1.163.351;0;0;660;0;660;76.470;1.240.481;1.949.181;27,86%;27,86%;27,86%;17,73%;6,20%
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;03/2021;175.907;0;175.907;0;175.907;1.086.339;0;0;99.392;0;99.392;49.916;1.235.648;4.108.293;14,24%;14,24%;14,24%;4,28%;10,38%
COOPERATIVA DE CRÉDITO ALIANÇA RS/SC/ES - SICREDI ALIANÇA RS/SC/ES;87795639;b3S;S4;I;2;MARAU;RS;03/2021;201.955;0;201.955;0;201.955;1.153.840;0;0;1.363;0;1.363;72.330;1.227.534;1.922.958;16,45%;16,45%;16,45%;10,50%;25,19%
COOPERATIVA DE CRÉDITO UNICRED VALOR CAPITAL LTDA – UNICRED VALOR CAPITAL;74064502;b3S;S5;I;2;FLORIANOPOLIS;SC;03/2021;NA;NA;NA;NA;322.571;1.140.138;0;NA;NA;NA;0;52.651;1.192.789;NA;NA%;NA%;27,04%;NA%;3,67%
COOPERATIVA DE CRÉDITO SICOOB OURO VERDE;5582619;b3S;S5;I;2;LONDRINA;PR;03/2021;NA;NA;NA;NA;142.842;1.077.701;0;NA;NA;NA;0;66.703;1.144.404;NA;NA%;NA%;12,48%;NA%;15,02%
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;4243780;b3C;S4;I;2;GOIANIA;GO;03/2021;171.703;0;171.703;0;171.703;1.095.339;0;0;217;0;217;40.532;1.136.087;5.866.282;15,11%;15,11%;15,11%;2,93%;14,50%
COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO IGUACU - SICREDI IGUACU PR/SC/SP;84974278;b3S;S4;I;2;SAO JOAO;PR;03/2021;229.011;0;229.011;0;229.011;1.068.997;0;0;425;0;425;65.667;1.135.088;1.734.319;20,18%;20,18%;20,18%;13,20%;5,71%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO BOTUCARAÍ – SICREDI BOTUCARAÍ RS/MG;87900601;b3S;S4;I;2;SOLEDADE;RS;03/2021;225.034;0;225.034;0;225.034;1.086.766;0;0;385;0;385;43.429;1.130.580;1.609.929;19,90%;19,90%;19,90%;13,98%;11,22%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO REGIÕES DAS CULTURAS – SICREDI DAS CULTURAS RS/MG;90729369;b3S;S4;I;2;IJUI;RS;03/2021;276.489;0;276.489;0;276.489;1.057.974;0;0;568;0;568;64.593;1.123.136;1.675.858;24,62%;24,62%;24,62%;16,50%;9,17%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ESSÊNCIA RS/ES – SICREDI ESSÊNCIA;87733077;b3S;S4;I;2;ITAQUI;RS;03/2021;401.861;0;401.861;0;401.861;1.072.208;0;0;703;0;703;42.736;1.115.647;1.757.767;36,02%;36,02%;36,02%;22,86%;4,96%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NOROESTE DE MATO GROSSO, ACRE E AMAZONAS - SICREDI BIOMAS;33022690;b3S;S4;I;2;ARAPUTANGA;MT;03/2021;202.194;0;202.194;0;202.194;1.060.039;0;0;396;0;396;51.746;1.112.181;1.567.409;18,18%;18,18%;18,18%;12,90%;11,04%
COOPERATIVA DE CRÉDITO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;S5;I;2;CACHOEIRO DE ITAPEMIRIM;ES;03/2021;NA;NA;NA;NA;381.499;1.033.102;0;NA;NA;NA;0;70.859;1.103.961;NA;NA%;NA%;34,56%;NA%;2,36%
